ad_id,age,gender,percentage
741991882940916,55-64,female,0.111801
741991882940916,45-54,female,0.038746
741991882940916,45-54,unknown,0.003549
741991882940916,18-24,unknown,0.000592
741991882940916,55-64,unknown,0.003253
741991882940916,25-34,unknown,0.003253
741991882940916,65+,unknown,0.004437
741991882940916,35-44,female,0.037859
741991882940916,55-64,male,0.085182
741991882940916,18-24,female,0.106182
741991882940916,45-54,male,0.056492
741991882940916,35-44,male,0.052351
741991882940916,25-34,male,0.086957
741991882940916,65+,male,0.086661
741991882940916,18-24,male,0.08814
741991882940916,65+,female,0.1748
741991882940916,25-34,female,0.056788
741991882940916,35-44,unknown,0.002958
522438014999583,18-24,male,0.15176
522438014999583,55-64,female,0.036646
522438014999583,18-24,unknown,0.001104
522438014999583,65+,unknown,0.00138
522438014999583,25-34,unknown,0.005521
522438014999583,45-54,unknown,0.002553
522438014999583,55-64,male,0.034369
522438014999583,65+,female,0.03078
522438014999583,45-54,male,0.058661
522438014999583,35-44,male,0.101449
522438014999583,45-54,female,0.036853
522438014999583,65+,male,0.020635
522438014999583,35-44,unknown,0.00697
522438014999583,25-34,female,0.118081
522438014999583,35-44,female,0.070255
522438014999583,18-24,female,0.165493
522438014999583,25-34,male,0.156936
522438014999583,55-64,unknown,0.000552
2408100469404692,18-24,male,0.212325
2408100469404692,65+,female,0.027443
2408100469404692,18-24,unknown,0.001926
2408100469404692,45-54,unknown,0.001926
2408100469404692,35-44,unknown,0.001926
2408100469404692,25-34,unknown,0.00337
2408100469404692,65+,male,0.018777
2408100469404692,45-54,female,0.035147
2408100469404692,35-44,male,0.064035
2408100469404692,55-64,male,0.031295
2408100469404692,55-64,female,0.031777
2408100469404692,35-44,female,0.048628
2408100469404692,25-34,male,0.150698
2408100469404692,25-34,female,0.081367
2408100469404692,45-54,male,0.037073
2408100469404692,18-24,female,0.251324
2408100469404692,65+,unknown,0.000963
2408100469404692,55-64,unknown,0
464776647446944,45-54,male,0.095109
464776647446944,65+,female,0.061641
464776647446944,25-34,female,0.145594
464776647446944,25-34,male,0.212644
464776647446944,35-44,female,0.082263
464776647446944,35-44,male,0.140974
464776647446944,45-54,female,0.04947
464776647446944,55-64,female,0.060514
464776647446944,55-64,male,0.079108
464776647446944,65+,male,0.047217
464776647446944,65+,unknown,0.002705
464776647446944,45-54,unknown,0.003268
464776647446944,25-34,unknown,0.009128
464776647446944,35-44,unknown,0.008677
464776647446944,55-64,unknown,0.00169
464776647446944,18-24,male,0
464776647446944,18-24,unknown,0
464776647446944,18-24,female,0
402505153691188,13-17,unknown,0.00064
402505153691188,18-24,unknown,0.001428
402505153691188,55-64,unknown,0.002461
402505153691188,35-44,unknown,0.003938
402505153691188,45-54,female,0.032488
402505153691188,25-34,unknown,0.002904
402505153691188,55-64,male,0.028403
402505153691188,45-54,unknown,0.002117
402505153691188,65+,male,0.025252
402505153691188,35-44,female,0.039675
402505153691188,18-24,female,0.092936
402505153691188,25-34,male,0.138961
402505153691188,45-54,male,0.035836
402505153691188,18-24,male,0.203987
402505153691188,13-17,male,0.091213
402505153691188,35-44,male,0.066109
402505153691188,65+,female,0.037755
402505153691188,55-64,female,0.045681
402505153691188,13-17,female,0.088309
402505153691188,25-34,female,0.057937
402505153691188,65+,unknown,0.001969
660817331030032,65+,male,0.146699
660817331030032,35-44,female,0.025293
660817331030032,55-64,unknown,0.003994
660817331030032,65+,unknown,0.005059
660817331030032,45-54,unknown,0.003994
660817331030032,13-17,female,0.003461
660817331030032,18-24,female,0.011981
660817331030032,25-34,unknown,0.003195
660817331030032,35-44,unknown,0.00426
660817331030032,45-54,female,0.035676
660817331030032,65+,female,0.206603
660817331030032,18-24,male,0.023962
660817331030032,25-34,female,0.027955
660817331030032,55-64,female,0.111555
660817331030032,35-44,male,0.076145
660817331030032,13-17,male,0.002662
660817331030032,25-34,male,0.082002
660817331030032,55-64,male,0.13951
660817331030032,45-54,male,0.085197
660817331030032,18-24,unknown,0.000799
