ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
741991882940916,364797800592456,Yves-François Blanchet  Bloc québécois,"Le 21 octobre, je vote pour NOUS. Je vote pour le Bloc Québécois!",elections.ca,Pour Yves-François Blanchet,OÙ VOTER,2019-10-15,2019-10-16,"Sylvain Gauthier, agent principal du Bloc Québécois",4000,4999,0,99,https://www.facebook.com/ads/library/?id=741991882940916
522438014999583,364797800592456,Yves-François Blanchet  Bloc québécois,"Du 11 au 14 octobre, votez par anticipation pour le Bloc Québécois!",ELECTIONS.CA,POUR YVES-FRANÇOIS BLANCHET,OÙ VOTER,2019-10-07,2019-10-14,"Sylvain Gauthier, agent principal du Bloc Québécois",50000,59999,200,299,https://www.facebook.com/ads/library/?id=522438014999583
2408100469404692,364797800592456,Yves-François Blanchet  Bloc québécois,Autorisé par l'agent officiel de Yves-François Blanchet,,Beloeil-Chambly,Yves-François Blanchet,2019-10-07,2019-10-07,"Sylvain Gauthier, agent principal du Bloc Québécois",2000,2999,0,99,https://www.facebook.com/ads/library/?id=2408100469404692
464776647446944,364797800592456,Yves-François Blanchet  Bloc québécois,Autorisé par l'agent officiel de Yves-François Blanchet,,Beloeil-Chambly,Yves-François Blanchet,2019-09-23,2019-10-07,"Sylvain Gauthier, agent principal du Bloc Québécois",50000,59999,200,299,https://www.facebook.com/ads/library/?id=464776647446944
402505153691188,364797800592456,Yves-François Blanchet  Bloc québécois,"Écoutez…  J'ai refusé la nomination aux Oscars 🎥 pour cette prestation toute en finesse 😅, mais je n'en suis pas moins fier de vous souhaiter au nom du Bloc Québécois une Fête nationale très… nationale!
On s'y croise demain et dimanche!
⚜️☀️🌱☺️",,,Fête nationale 2019,2019-06-22,2019-06-25,,20000,24999,200,299,https://www.facebook.com/ads/library/?id=402505153691188
660817331030032,364797800592456,Yves-François Blanchet  Bloc québécois,"UN SI BEL AVENIR POUR L’EST-DU-QUÉBEC!

Kristina Michaud sera certainement notre plus jeune candidate mais elle n’a pas besoin de cette observation pour briller. Articulée, compétente, excellente communicative, engagée de tout cœur pour sa région... Elle incarne ce qui fait défaut à ses opposants: la vérité, la clarté, l’espoir et la confiance. En plus, elle a l’appui d’un ami, un certain Pascal Bérubé.   Ça aide... 😄⚜️🌱☀️

On se voit à l’investiture 😊",ici.radio-canada.ca,"C’est une jeune femme de 26 ans, Kristina Michaud, originaire d’Amqui, qui sera candidate du Bloc québécois dans la circonscription d'Avignon–La Mitis–Matane–Matapédia.",Une jeune Matapédienne candidate du Bloc québécois,2019-06-22,2019-06-25,,5000,5999,0,99,https://www.facebook.com/ads/library/?id=660817331030032
