ad_id,region,percentage
851319451937168,Ontario,0.520246
851319451937168,Prince Edward Island,0.000583
851319451937168,Saskatchewan,0.030838
851319451937168,Yukon,0.004203
851319451937168,Nunavut,0.003496
851319451937168,Quebec,0
851319451937168,Newfoundland and Labrador,0
851319451937168,Northwest Territories,0
1153331885055859,Alberta,0.127137
1153331885055859,British Columbia,0.16513
1153331885055859,Manitoba,0.037324
1153331885055859,New Brunswick,0.077902
1153331885055859,Nova Scotia,0.087104
1153331885055859,Ontario,0.450547
1153331885055859,Prince Edward Island,0.001012
1153331885055859,Saskatchewan,0.041575
1153331885055859,Yukon,0.008704
1153331885055859,Nunavut,0.003566
1153331885055859,Quebec,0
1153331885055859,Newfoundland and Labrador,0
1153331885055859,Northwest Territories,0
1195979823929774,Alberta,0.108284
1195979823929774,British Columbia,0.165734
1195979823929774,Manitoba,0.039029
1195979823929774,New Brunswick,0.050936
1195979823929774,Nova Scotia,0.066863
1195979823929774,Ontario,0.537655
1195979823929774,Prince Edward Island,0.00056
1195979823929774,Saskatchewan,0.024425
1195979823929774,Yukon,0.003918
1195979823929774,Nunavut,0.002595
1195979823929774,Quebec,0
1195979823929774,Newfoundland and Labrador,0
1195979823929774,Northwest Territories,0
2123547124617809,Alberta,0.128979
2123547124617809,British Columbia,0.163738
2123547124617809,Manitoba,0.033359
2123547124617809,New Brunswick,0.048001
2123547124617809,Nova Scotia,0.059715
2123547124617809,Ontario,0.531449
2123547124617809,Prince Edward Island,0.000637
2123547124617809,Saskatchewan,0.028775
2123547124617809,Yukon,0.00331
2123547124617809,Nunavut,0.002037
2123547124617809,Quebec,0
2123547124617809,Newfoundland and Labrador,0
2123547124617809,Northwest Territories,0
2491135790963470,Alberta,0.110835
2491135790963470,British Columbia,0.148332
2491135790963470,Manitoba,0.042055
2491135790963470,New Brunswick,0.052828
2491135790963470,Nova Scotia,0.070023
2491135790963470,Ontario,0.542987
2491135790963470,Prince Edward Island,0.000414
2491135790963470,Saskatchewan,0.027553
2491135790963470,Yukon,0.002279
2491135790963470,Nunavut,0.002693
2491135790963470,Quebec,0
2491135790963470,Newfoundland and Labrador,0
2491135790963470,Northwest Territories,0
523935935053399,Alberta,0.08
523935935053399,British Columbia,0.08
523935935053399,Manitoba,0.04
523935935053399,New Brunswick,0.24
523935935053399,Nova Scotia,0.08
523935935053399,Ontario,0.44
523935935053399,Yukon,0.04
523935935053399,Quebec,0
523935935053399,Prince Edward Island,0
523935935053399,Northwest Territories,0
523935935053399,Nunavut,0
523935935053399,Newfoundland and Labrador,0
523935935053399,Saskatchewan,0
547631319320130,Alberta,0.077111
547631319320130,British Columbia,0.055608
547631319320130,Manitoba,0.028277
547631319320130,New Brunswick,0.134452
547631319320130,Nova Scotia,0.047259
547631319320130,Ontario,0.637366
547631319320130,Quebec,0.000394
547631319320130,Saskatchewan,0.010712
547631319320130,Yukon,0.006774
547631319320130,Nunavut,0.002048
547631319320130,Newfoundland and Labrador,0
547631319320130,Northwest Territories,0
547631319320130,Prince Edward Island,0
678141629341312,Alberta,0.086504
678141629341312,British Columbia,0.067952
678141629341312,Manitoba,0.033831
678141629341312,New Brunswick,0.118097
678141629341312,Nova Scotia,0.046536
678141629341312,Ontario,0.627638
678141629341312,Prince Edward Island,0.00012
678141629341312,Quebec,0.000144
678141629341312,Saskatchewan,0.011622
678141629341312,Yukon,0.00628
678141629341312,Nunavut,0.001275
678141629341312,Newfoundland and Labrador,0
678141629341312,Northwest Territories,0
685149661991877,Alberta,0.098913
685149661991877,British Columbia,0.060322
685149661991877,Manitoba,0.04009
685149661991877,New Brunswick,0.121768
685149661991877,Nova Scotia,0.043087
685149661991877,Ontario,0.609966
685149661991877,Prince Edward Island,0.000375
685149661991877,Quebec,0.000375
685149661991877,Saskatchewan,0.013114
685149661991877,Yukon,0.009367
685149661991877,Nunavut,0.002623
685149661991877,Newfoundland and Labrador,0
685149661991877,Northwest Territories,0
755755601539377,Alberta,0.102675
755755601539377,British Columbia,0.077707
755755601539377,Manitoba,0.041019
755755601539377,New Brunswick,0.10293
755755601539377,Nova Scotia,0.046115
755755601539377,Ontario,0.601274
755755601539377,Saskatchewan,0.019363
755755601539377,Yukon,0.007898
755755601539377,Nunavut,0.001019
755755601539377,Quebec,0
755755601539377,Newfoundland and Labrador,0
755755601539377,Northwest Territories,0
755755601539377,Prince Edward Island,0
915007402205189,Alberta,0.093549
915007402205189,British Columbia,0.061434
915007402205189,Manitoba,0.037206
915007402205189,New Brunswick,0.111397
915007402205189,Nova Scotia,0.038966
915007402205189,Ontario,0.636866
915007402205189,Prince Edward Island,0.000157
915007402205189,Quebec,0.000157
915007402205189,Saskatchewan,0.014015
915007402205189,Yukon,0.005373
915007402205189,Nunavut,0.00088
915007402205189,Newfoundland and Labrador,0
915007402205189,Northwest Territories,0
933031610385846,Alberta,0.121212
933031610385846,British Columbia,0.09697
933031610385846,Manitoba,0.054545
933031610385846,New Brunswick,0.090909
933031610385846,Nova Scotia,0.024242
933031610385846,Ontario,0.581818
933031610385846,Saskatchewan,0.018182
933031610385846,Yukon,0.012121
933031610385846,Quebec,0
933031610385846,Prince Edward Island,0
933031610385846,Northwest Territories,0
933031610385846,Nunavut,0
933031610385846,Newfoundland and Labrador,0
1142282025971621,Alberta,0.156467
1142282025971621,British Columbia,0.102771
1142282025971621,Manitoba,0.052252
1142282025971621,New Brunswick,0.05254
1142282025971621,Nova Scotia,0.021074
1142282025971621,Ontario,0.581986
1142282025971621,Saskatchewan,0.021074
1142282025971621,Yukon,0.010104
1142282025971621,Nunavut,0.001732
1142282025971621,Quebec,0
1142282025971621,Newfoundland and Labrador,0
1142282025971621,Northwest Territories,0
1142282025971621,Prince Edward Island,0
1638213919641935,Alberta,0.142857
1638213919641935,British Columbia,0.079365
1638213919641935,Manitoba,0.039683
1638213919641935,New Brunswick,0.111111
1638213919641935,Nova Scotia,0.015873
1638213919641935,Ontario,0.587302
1638213919641935,Quebec,0.007937
1638213919641935,Saskatchewan,0.015873
1638213919641935,Prince Edward Island,0
