ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
474111283225312,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"As Prime Minister, Andrew Scheer will put more money in your pocket to help you get ahead.",andrewscheer.ca,It's time for you to get ahead,Support Andrew Scheer,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,25000,29999,200,299,https://www.facebook.com/ads/library/?id=474111283225312
513313309246158,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"As Prime Minister, Andrew Scheer will put more money in your pocket to help you get ahead.",andrewscheer.ca,It's time for you to get ahead,Support Andrew Scheer,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,10000,14999,0,99,https://www.facebook.com/ads/library/?id=513313309246158
1274776429368813,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"As Prime Minister, Andrew Scheer will put more money in your pocket to help you get ahead.",andrewscheer.ca,It's time for you to get ahead,Support Andrew Scheer,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,8000,8999,0,99,https://www.facebook.com/ads/library/?id=1274776429368813
691785877991785,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"As Prime Minister, Andrew Scheer will help parents give their children every opportunity to get ahead.",andrewscheer.ca,It's time for you to get ahead,Support Andrew Scheer,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,2000,2999,0,99,https://www.facebook.com/ads/library/?id=691785877991785
2534196243304917,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"As Prime Minister, Andrew Scheer will help parents give their children every opportunity to get ahead.",andrewscheer.ca,It's time for you to get ahead,Support Andrew Scheer,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,2000,2999,0,99,https://www.facebook.com/ads/library/?id=2534196243304917
391796385092227,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"As Prime Minister, Andrew Scheer will help parents give their children every opportunity to get ahead.",andrewscheer.ca,It's time for you to get ahead,Support Andrew Scheer,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,3000,3999,100,199,https://www.facebook.com/ads/library/?id=391796385092227
508374696376622,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"As Prime Minister, Andrew Scheer will put more money in your pocket to help you get ahead.",andrewscheer.ca,It's time for you to get ahead,Support Andrew Scheer,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,15000,19999,200,299,https://www.facebook.com/ads/library/?id=508374696376622
730498570798252,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"As Prime Minister, Andrew Scheer will put more money in your pocket to help you get ahead.",andrewscheer.ca,It's time for you to get ahead,Support Andrew Scheer,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,3000,3999,0,99,https://www.facebook.com/ads/library/?id=730498570798252
700143653824469,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"As Prime Minister, Andrew Scheer will put more money in your pocket to help you get ahead.",andrewscheer.ca,It's time for you to get ahead,Support Andrew Scheer,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,5000,5999,0,99,https://www.facebook.com/ads/library/?id=700143653824469
2466248756943670,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Unlike Justin Trudeau, Andrew Scheer’s plan for A Safer Canada will revise the Canadian drugs and substance strategy to focus on helping Canadians recover from addiction.",andrewscheer.ca,A plan for safer streets,Support Andrew Scheer,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,20000,24999,100,199,https://www.facebook.com/ads/library/?id=2466248756943670
1333041876859235,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Unlike Justin Trudeau, Andrew Scheer’s plan for A Safer Canada will take real action to fight gang and gun violence.",andrewscheer.ca,A plan for safer streets,Support Andrew Scheer,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,50000,59999,400,499,https://www.facebook.com/ads/library/?id=1333041876859235
2141877299452099,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Unlike Justin Trudeau, Andrew Scheer’s plan for A Safer Canada will take real action to fight gang and gun violence.",andrewscheer.ca,A plan for safer streets,Support Andrew Scheer,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,50000,59999,300,399,https://www.facebook.com/ads/library/?id=2141877299452099
386397045604272,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Unlike Justin Trudeau, Andrew Scheer will scrap the carbon tax, putting more money in your pocket to help you get ahead.",andrewscheer.ca,It's time for you to get ahead,Support Andrew Scheer,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,25000,29999,400,499,https://www.facebook.com/ads/library/?id=386397045604272
775103769615729,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Unlike Justin Trudeau, Andrew Scheer's plan will put more money in your pocket to help you get ahead.",andrewscheer.ca,It's time for you to get ahead,Support Andrew Scheer,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,20000,24999,300,399,https://www.facebook.com/ads/library/?id=775103769615729
917749485261247,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Unlike Justin Trudeau, Andrew Scheer’s plan for A Safer Canada will take real action to fight gang and gun violence.",andrewscheer.ca,A plan for safer streets,Support Andrew Scheer,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,10000,14999,100,199,https://www.facebook.com/ads/library/?id=917749485261247
630008600740119,5661704203,Conservative Party of Canada - Parti conservateur du Canada,"Les bureaux de vote par anticipation sont ouverts dans tout le pays du 11 au 14 octobre, de 9 h à 21 h. Apprenez-en plus ici !",conservateur.ca,© Droit d'auteur 2019. Autorisé par l’agent officiel du Parti conservateur du Canada. ‎Regardez nos Politique de confidentialité.,Les bureaux de vote par anticipation sont ouverts !,2019-10-11,2019-10-13,Conservative Party of Canada - Parti conservateur du Canada,1000,1999,0,99,https://www.facebook.com/ads/library/?id=630008600740119
